file,baseline,finetuned
인.허가/5350178/1996/5350178-1996-0001-0428.json,0.5584,0.8345
인.허가/5350178/1997/5350178-1997-0001-0537.json,0.2138,0.8371
인.허가/5350178/1997/5350178-1997-0001-0545.json,0.4425,0.6385
인.허가/5350178/1997/5350178-1997-0001-0569.json,0.1778,0.7771
인.허가/5350178/1997/5350178-1997-0001-0570.json,0.2625,0.7488
인.허가/5350178/1998/5350178-1998-0001-0307.json,0.4194,0.6026
인.허가/5350178/1999/5350178-1999-0001-0349.json,0.3221,0.8142
인.허가/5350178/2000/5350178-2000-0001-0259.json,0.338,0.6391
인.허가/5350178/2000/5350178-2000-0001-0263.json,0.3554,0.5749
인.허가/5350178/2000/5350178-2000-0001-0265.json,0.4107,0.6652
인.허가/5350178/2001/5350178-2001-0001-0633.json,0.385,0.8235
인.허가/5350178/2001/5350178-2001-0001-0640.json,0.3168,0.7024
인.허가/5350178/2002/5350178-2002-0001-0857.json,0.4133,0.772
인.허가/5350178/2003/5350178-2003-0001-0082.json,0.4959,0.7773
인.허가/9931765/1994/9931765-1994-0001-0206.json,0.5106,0.6942
인.허가/9931765/1994/9931765-1994-0001-0214.json,0.3898,0.7273
일반행정/5350192/2011/5350192-2011-0001-0009.json,0.4261,0.6071
일반행정/5350193/1995/5350193-1995-0001-0405.json,0.5246,0.7858
일반행정/5350193/1996/5350193-1996-0001-0690.json,0.3603,0.6918
일반행정/5350193/1996/5350193-1996-0001-0738.json,0.1316,0.8487
일반행정/5350193/1997/5350193-1997-0001-0193.json,0.2019,0.7729
일반행정/5350193/1997/5350193-1997-0001-0200.json,0.33,0.7915
일반행정/5350193/1997/5350193-1997-0001-0201.json,0.2256,0.7436
일반행정/5350193/1998/5350193-1998-0001-0525.json,0.0839,0.8529
일반행정/5350193/1998/5350193-1998-0001-0530.json,0.3486,0.6753
일반행정/5350193/1998/5350193-1998-0001-0540.json,0.2017,0.7496
일반행정/5350193/1999/5350193-1999-0001-0347.json,0.1285,0.6711
일반행정/5350193/2000/5350193-2000-0001-0204.json,0.4284,0.7664
일반행정/5350193/2000/5350193-2000-0001-0221.json,0.2785,0.6929
일반행정/5350193/2001/5350193-2001-0001-0437.json,0.3119,0.7883
일반행정/5350193/2001/5350193-2001-0001-0446.json,0.2231,0.6287
일반행정/5350193/2001/5350193-2001-0001-0453.json,0.3813,0.7265
일반행정/5350193/2002/5350193-2002-0001-0166.json,0.2148,0.7396
일반행정/5350193/2003/5350193-2003-0001-0272.json,0.3959,0.6341
일반행정/5350224/1994/5350224-1994-0001-0124.json,0.5722,0.6316
일반행정/5350224/1995/5350224-1995-0001-0372.json,0.6162,0.7745
일반행정/5350224/1995/5350224-1995-0001-0384.json,0.3404,0.7775
일반행정/5350224/1995/5350224-1995-0001-0397.json,0.3839,0.7515
일반행정/5350224/1998/5350224-1998-0001-0013.json,0.258,0.7917
일반행정/5350224/2001/5350224-2001-0001-0227.json,0.3797,0.816
